model,test_set,regime_class,depth_level,rmse_T,rmse_S,r_T,r_S,n_profiles
oceanembed,temporal,barrier_layer_stratified,125.0,1.5919368267059326,0.15834824740886688,0.7108039983161264,0.9732547096356012,82
oceanembed,temporal,barrier_layer_stratified,150.0,1.34621262550354,0.1807088851928711,0.8141421984423108,0.9760249263973418,82
oceanembed,temporal,barrier_layer_stratified,200.0,0.8617136478424072,0.18369686603546143,0.928994753612856,0.9748738240133744,82
oceanembed,temporal,barrier_layer_stratified,250.0,0.7257234454154968,0.14888694882392883,0.9507617230403158,0.9856871327201601,82
oceanembed,temporal,barrier_layer_stratified,300.0,0.7084071040153503,0.12644027173519135,0.9391314530499709,0.9782115565207669,82
oceanembed,temporal,barrier_layer_stratified,400.0,0.45756226778030396,0.09917649626731873,0.9609346393851025,0.9780891675194604,82
oceanembed,temporal,barrier_layer_stratified,500.0,0.387448787689209,0.08034677803516388,0.9653863016751654,0.9811717968984596,82
oceanembed,temporal,barrier_layer_stratified,700.0,0.35842907428741455,0.06259989738464355,0.9679034647594698,0.9842396482145102,82
oceanembed,temporal,barrier_layer_stratified,1000.0,0.2971356511116028,0.05565563961863518,0.9651713178506492,0.9723710854196379,82
oceanembed,temporal,barrier_layer_stratified,1500.0,0.15948231518268585,0.024132434278726578,0.9530197072332646,0.9741262929368474,82
oceanembed,temporal,barrier_layer_stratified,2000.0,0.11747976392507553,0.017727132886648178,0.8281842470029993,0.9090427673042595,82
oceanembed,temporal,barrier_layer_stratified,-1.0,1.0489550828933716,0.21450388431549072,0.9922176559409732,0.9534163477868226,82
oceanembed,temporal,upwelling,0.0,0.7866408824920654,0.31081974506378174,0.8998152560365681,0.9533268604013586,50
oceanembed,temporal,upwelling,10.0,0.7927854061126709,0.30389851331710815,0.8922027306739027,0.9546811935720794,50
oceanembed,temporal,upwelling,20.0,0.8858428597450256,0.2718137502670288,0.8541436074892378,0.9605333367876107,50
oceanembed,temporal,upwelling,30.0,0.9848251938819885,0.2619350552558899,0.8435867294969784,0.9566751419134454,50
oceanembed,temporal,upwelling,50.0,1.4420790672302246,0.22496455907821655,0.7820625094345698,0.9595640209437789,50
oceanembed,temporal,upwelling,75.0,2.165863513946533,0.2279503494501114,0.7017183608167978,0.95048165489681,50
oceanembed,temporal,upwelling,100.0,2.4554603099823,0.21890561282634735,0.7083374895323001,0.9456143140725638,50
oceanembed,temporal,upwelling,125.0,2.2722561359405518,0.15777535736560822,0.7015936878900569,0.9496932721506212,50
oceanembed,temporal,upwelling,150.0,2.487591028213501,0.15215276181697845,0.6700938863276865,0.9446998853561956,50
oceanembed,temporal,upwelling,200.0,2.0662925243377686,0.1262456625699997,0.6514675140805871,0.9518873685523708,50
oceanembed,temporal,upwelling,250.0,1.013965368270874,0.13250963389873505,0.7883213607916572,0.9181542208789248,50
oceanembed,temporal,upwelling,300.0,0.6519997715950012,0.12226570397615433,0.8707633369878774,0.9178363773663262,50
oceanembed,temporal,upwelling,400.0,0.4136422872543335,0.10856463015079498,0.9293709568748748,0.934564975811224,50
oceanembed,temporal,upwelling,500.0,0.35606056451797485,0.09671197831630707,0.9559369620207854,0.9501648102215667,50
oceanembed,temporal,upwelling,700.0,0.34830084443092346,0.06777675449848175,0.9702202490467405,0.9719027521983261,50
oceanembed,temporal,upwelling,1000.0,0.32675179839134216,0.052825018763542175,0.9579972692117567,0.972845931064924,50
oceanembed,temporal,upwelling,1500.0,0.2111986130475998,0.022249015048146248,0.9022945957615787,0.9624970009615617,50
oceanembed,temporal,upwelling,2000.0,0.11908834427595139,0.012901506386697292,0.6873217731153076,0.8505654681277055,50
oceanembed,temporal,upwelling,-1.0,1.3966845273971558,0.18820370733737946,0.9852070631797413,0.9529935692931946,50
oceanembed,temporal,all,0.0,0.6848447918891907,0.2621121108531952,0.8600430545493082,0.9650236879848914,636
oceanembed,temporal,all,10.0,0.8225229978561401,0.2778054177761078,0.8137391642209696,0.9605081697250821,636
oceanembed,temporal,all,20.0,1.329935073852539,0.2952636182308197,0.6366172716326259,0.9522193583229048,636
oceanembed,temporal,all,30.0,1.5640722513198853,0.28125104308128357,0.7229752536023294,0.9529255067785806,636
oceanembed,temporal,all,50.0,1.2989728450775146,0.27713751792907715,0.8717337514976542,0.9452675147203169,636
oceanembed,temporal,all,75.0,1.5074254274368286,0.271860271692276,0.8458629062081587,0.9365900314557342,636
oceanembed,temporal,all,100.0,2.040374994277954,0.2556411921977997,0.6953780602135605,0.9309068165953526,636
oceanembed,temporal,all,125.0,1.7089685201644897,0.23298262059688568,0.6917069171064394,0.9332905992689563,636
oceanembed,temporal,all,150.0,1.482332468032837,0.24779373407363892,0.8186896016243586,0.9242010673231871,636
oceanembed,temporal,all,200.0,1.249489665031433,0.2699863016605377,0.8944958939977717,0.9238498780039892,636
oceanembed,temporal,all,250.0,1.0989060401916504,0.23046840727329254,0.9062933629034702,0.9377455054999211,636
oceanembed,temporal,all,300.0,1.0449719429016113,0.21209223568439484,0.8967965848272338,0.9377599546530316,636
oceanembed,temporal,all,400.0,0.6561922430992126,0.14756590127944946,0.9383677841744473,0.956926465054114,636
oceanembed,temporal,all,500.0,0.4777887463569641,0.10752911865711212,0.9563281404750786,0.9670564530898542,636
oceanembed,temporal,all,700.0,0.3958750367164612,0.0818592831492424,0.9584042535848465,0.9679793045324934,636
oceanembed,temporal,all,1000.0,0.3224765956401825,0.06913460791110992,0.9608758133998069,0.9566828635558194,636
oceanembed,temporal,all,1500.0,0.18900609016418457,0.03582224249839783,0.9455426152744375,0.9407325861161091,636
oceanembed,temporal,all,2000.0,0.11122150719165802,0.015235885046422482,0.8500009089246922,0.8998821487017445,636
